dsp_cookies_export.user_id,dsp_cookies_export.zeta_user_id,dsp_cookies_export.dt
6367126844989778,"[""53be970b-6293-4e64-b569-bc461e98661b:1605783229.48""]",20210625
6392818077433782,"[""a98a9c8c-cc34-4b8c-9835-82d95a3f3c0f:1609097004.01""]",20210625
6632055189748696,"[""1d7ca6eb-7fc1-452d-a3b3-737ab4422935:1604507974.27""]",20210625
6641248833521559,"[""b417eef7-18ae-482b-882d-fed81016b492:1605365432.32""]",20210625
6722349214163489,"[""9ad6ec6e-151d-4832-9201-8a321337094c:1607801471.64""]",20210625
7261646232276557,"[""39a95879-a94d-4589-a607-28f6aeff5b6d:1597883649.45""]",20210625
7515504404928839,"[""5f0cc000-3f73-412d-9bac-3a3113142e17:1619288472.44""]",20210625
8436815854316112,"[""7466fa92-3827-496b-936b-9c2a467532e6:1618183995.0""]",20210625
8671100186890377,"[""1047a9c9-3d79-4089-a9d3-2e9efae83a81:1543070537.03""]",20210625
8708486116455784,"[""7ca2bbfd-df09-4937-a5d8-2315d0b5f10e:1617073482.15""]",20210625
9154190522047124,"[""edbd3e45-979d-45cd-afa6-f5e9940f31b8:1594128084.72""]",20210625
9219144118524309,"[""0aba508a-768e-4388-88a8-cdaf0800b53d:1598077128.23""]",20210625
9287527150257822,"[""b16281e9-fc17-4686-a726-1ec4dd2732b8:1612009898.39""]",20210625
10002399648001476,"[""ef4b508e-eeb9-445f-94bd-f0c17a0b743e:1618705127.36""]",20210625
10003880051718707,"[""4209aaa9-2ee7-4e7f-b48b-7e77362c3dcc:1623936696.7""]",20210625
10010373433253008,"[""6fdc37b5-d5bb-4dc5-9d92-856eaf74008a:1553711235.2""]",20210625
10383889090607131,"[""cfd0a2ec-d33d-477f-9a7c-4e1d1054ae6a:1624649394.41"",""0e1f8152-740b-4056-8dcf-63d797c783df:1621708119.02""]",20210625
10601942968774952,"[""cc351f67-9186-4d9e-a956-9339194c183d:1623837964.43""]",20210625
10627348726659475,"[""6335ebfb-e3e6-4d1c-b1bf-d6afc293cb79:1602208118.76""]",20210625
11145930536672157,"[""b4f235ac-5996-4beb-a9ac-b78a48d3f937:1594213259.49""]",20210625
11154559180406347,"[""9d1ee0c1-a08f-4814-9c87-97405be25b86:1617053639.13""]",20210625
11227132445068808,"[""d066635b-e59e-489a-ad7d-867659371729:1578607098.89""]",20210625
11256395723429497,"[""aef3c0a0-6665-4b28-a509-64f54684086b:1620296788.8""]",20210625
11821599451246620,"[""3a047a77-ddf0-4364-8e7e-b4ade2f86b92:1611397071.74""]",20210625
12380253718302933,"[""b4c5f24e-d6ca-42a3-806d-3730c559bc1e:1575471067.45""]",20210625
12571699564557498,"[""2a48a2aa-1346-4e59-a9ae-aa3793a8d7e3:1589317647.29""]",20210625
